Date,Time_Hour,Month,Area Name,Road/Intersection Name,Event,Spectator_Count,Traffic Volume,Average Speed,Travel Time Index,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity,Congestion Level,Road_DNA_Score,Reroute_Reason
2025-03-14,20,3,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs SRH,34103,79240,20.12,2.09,78.3,2,164.94,77.09,82.86,97.18,1956,Clear,Yes,Medium,56,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 34,103 spectators). Heavy crowd movement on MG Road during peak match hours (20:00). Road DNA: 56. Reroute via Richmond Road flyover."
2025-05-12,19,5,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs MI,29017,85800,7.35,3.93,108.5,1,122.82,66.74,86.85,98.99,3302,Light Rain,Yes,Severe,81,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 29,017 spectators). Heavy crowd movement on Kasturba Road during peak match hours (19:00). Road DNA: 81. Reroute via Richmond Road flyover."
2025-05-28,20,5,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs CSK,29833,104903,13.55,3.91,96.35,4,135.26,69.25,85.0,87.91,2411,Heavy Rain,Yes,Severe,95,"IPL Match at Chinnaswamy Stadium (RCB vs CSK, 29,833 spectators). Heavy crowd movement on Kasturba Road during peak match hours (20:00). Road DNA: 95. Reroute via Richmond Road flyover."
2025-03-23,19,3,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs GT,31436,111420,13.52,3.05,112.54,2,148.43,73.67,84.66,97.6,957,Light Rain,Yes,Severe,88,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 31,436 spectators). Heavy crowd movement on Cubbon Road during peak match hours (19:00). Road DNA: 88. Reroute via Richmond Road flyover."
2025-04-16,21,4,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs SRH,34776,116604,11.25,2.81,104.74,1,166.12,82.6,87.27,92.06,1436,Heavy Rain,No,Severe,85,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 34,776 spectators). Heavy crowd movement on Cubbon Road during peak match hours (21:00). Road DNA: 85. Reroute via Richmond Road flyover."
2025-04-06,20,4,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs MI,29529,65989,19.59,1.63,88.41,1,120.81,78.84,89.82,95.94,1687,Thunderstorm,Yes,Medium,72,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 29,529 spectators). Heavy crowd movement on Richmond Road during peak match hours (20:00). Road DNA: 72. Reroute via Richmond Road flyover."
2025-03-07,17,3,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs CSK,28921,126765,9.34,2.99,110.82,1,122.23,88.75,75.99,86.29,2273,Light Rain,Yes,Severe,94,"IPL Match at Chinnaswamy Stadium (RCB vs CSK, 28,921 spectators). Heavy crowd movement on Cubbon Road during peak match hours (17:00). Road DNA: 94. Reroute via Richmond Road flyover."
2025-05-01,16,5,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs DC,28156,68256,20.13,1.62,70.05,0,145.56,61.32,79.43,90.53,1735,Clear,No,Medium,55,"IPL Match at Chinnaswamy Stadium (RCB vs DC, 28,156 spectators). Heavy crowd movement on Residency Road during peak match hours (16:00). Road DNA: 55. Reroute via Richmond Road flyover."
2025-04-04,18,4,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs SRH,30195,112348,12.14,2.7,106.87,3,166.82,74.88,86.28,87.47,3489,Clear,Yes,High,78,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 30,195 spectators). Heavy crowd movement on Residency Road during peak match hours (18:00). Road DNA: 78. Reroute via Richmond Road flyover."
2025-05-03,21,5,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs GT,31882,88945,12.83,3.44,98.71,1,140.45,61.56,81.27,99.02,1417,Heavy Rain,No,Severe,95,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 31,882 spectators). Heavy crowd movement on Residency Road during peak match hours (21:00). Road DNA: 95. Reroute via Richmond Road flyover."
2025-04-14,19,4,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs GT,33346,128333,7.48,2.62,109.17,4,135.39,89.76,75.63,89.58,1739,Clear,Yes,High,94,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 33,346 spectators). Heavy crowd movement on MG Road during peak match hours (19:00). Road DNA: 94. Reroute via Richmond Road flyover."
2025-03-06,16,3,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs GT,29423,102403,7.32,3.36,100.64,2,185.28,67.9,72.22,96.76,1187,Light Rain,Yes,Severe,93,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 29,423 spectators). Heavy crowd movement on Richmond Road during peak match hours (16:00). Road DNA: 93. Reroute via Richmond Road flyover."
2025-03-26,19,3,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs RR,31026,122371,9.16,2.55,104.41,1,153.31,63.58,77.41,87.19,1006,Thunderstorm,No,High,90,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 31,026 spectators). Heavy crowd movement on Cubbon Road during peak match hours (19:00). Road DNA: 90. Reroute via Richmond Road flyover."
2025-04-28,17,4,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs RR,31037,114615,8.53,4.12,96.6,2,125.59,67.36,71.94,98.0,1756,Heavy Rain,Yes,Severe,84,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 31,037 spectators). Heavy crowd movement on Cubbon Road during peak match hours (17:00). Road DNA: 84. Reroute via Richmond Road flyover."
2025-05-22,16,5,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs LSG,30041,76829,23.52,1.73,73.97,1,163.56,78.07,89.45,85.74,2022,Clear,No,Medium,62,"IPL Match at Chinnaswamy Stadium (RCB vs LSG, 30,041 spectators). Heavy crowd movement on Kasturba Road during peak match hours (16:00). Road DNA: 62. Reroute via Richmond Road flyover."
2025-05-04,20,5,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs GT,33528,68573,20.17,1.64,87.21,2,170.38,71.62,74.27,96.16,1928,Thunderstorm,Yes,Medium,66,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 33,528 spectators). Heavy crowd movement on MG Road during peak match hours (20:00). Road DNA: 66. Reroute via Richmond Road flyover."
2025-03-08,20,3,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs RR,29829,76115,18.2,2.09,86.31,0,186.78,78.55,81.46,90.73,1834,Thunderstorm,No,Medium,56,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 29,829 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (20:00). Road DNA: 56. Reroute via Richmond Road flyover."
2025-03-27,22,3,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs RR,34797,122979,6.81,2.74,114.03,1,128.11,81.76,78.31,97.14,1828,Light Rain,Yes,Severe,83,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 34,797 spectators). Heavy crowd movement on Residency Road during peak match hours (22:00). Road DNA: 83. Reroute via Richmond Road flyover."
2025-05-16,16,5,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs MI,28000,120950,13.37,3.4,102.88,1,176.88,63.09,85.93,91.67,2130,Heavy Rain,No,Severe,89,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 28,000 spectators). Heavy crowd movement on Residency Road during peak match hours (16:00). Road DNA: 89. Reroute via Richmond Road flyover."
2025-05-04,18,5,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs MI,33723,104338,9.95,3.79,105.4,4,132.98,67.27,79.04,86.61,2119,Heavy Rain,No,Severe,83,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 33,723 spectators). Heavy crowd movement on MG Road during peak match hours (18:00). Road DNA: 83. Reroute via Richmond Road flyover."
2025-03-16,20,3,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs LSG,34434,73133,21.21,2.22,77.72,4,175.72,63.62,82.42,85.78,3254,Thunderstorm,Yes,Medium,65,"IPL Match at Chinnaswamy Stadium (RCB vs LSG, 34,434 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (20:00). Road DNA: 65. Reroute via Richmond Road flyover."
2025-04-27,20,4,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs GT,34842,111239,6.94,3.78,108.8,2,155.54,63.61,85.82,97.71,2668,Light Rain,Yes,Severe,94,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 34,842 spectators). Heavy crowd movement on Cubbon Road during peak match hours (20:00). Road DNA: 94. Reroute via Richmond Road flyover."
2025-05-10,16,5,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs GT,28304,76153,19.51,2.25,72.98,1,139.53,70.46,79.75,88.82,818,Thunderstorm,No,Medium,58,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 28,304 spectators). Heavy crowd movement on Richmond Road during peak match hours (16:00). Road DNA: 58. Reroute via Richmond Road flyover."
2025-05-28,17,5,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs LSG,34765,115945,9.78,3.67,95.71,2,138.12,76.85,89.69,96.51,1866,Thunderstorm,No,High,91,"IPL Match at Chinnaswamy Stadium (RCB vs LSG, 34,765 spectators). Heavy crowd movement on Residency Road during peak match hours (17:00). Road DNA: 91. Reroute via Richmond Road flyover."
2025-05-02,20,5,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs CSK,33579,87564,7.41,4.38,97.01,4,163.67,89.74,79.47,92.08,3270,Heavy Rain,Yes,Severe,92,"IPL Match at Chinnaswamy Stadium (RCB vs CSK, 33,579 spectators). Heavy crowd movement on Richmond Road during peak match hours (20:00). Road DNA: 92. Reroute via Richmond Road flyover."
2025-03-28,20,3,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs MI,31785,57860,21.91,2.06,78.9,2,121.05,78.25,71.33,87.96,2774,Clear,No,Medium,75,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 31,785 spectators). Heavy crowd movement on Cubbon Road during peak match hours (20:00). Road DNA: 75. Reroute via Richmond Road flyover."
2025-05-14,16,5,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs GT,28764,90609,13.2,2.55,99.29,3,166.42,63.74,71.82,86.77,2961,Light Rain,No,Severe,81,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 28,764 spectators). Heavy crowd movement on Cubbon Road during peak match hours (16:00). Road DNA: 81. Reroute via Richmond Road flyover."
2025-03-25,20,3,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs CSK,31091,105578,11.2,2.73,110.51,2,166.47,78.62,84.06,86.51,2032,Heavy Rain,Yes,Severe,80,"IPL Match at Chinnaswamy Stadium (RCB vs CSK, 31,091 spectators). Heavy crowd movement on Richmond Road during peak match hours (20:00). Road DNA: 80. Reroute via Richmond Road flyover."
2025-05-19,20,5,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs LSG,34849,64963,24.48,2.15,77.99,4,163.15,80.59,85.07,86.11,2454,Thunderstorm,Yes,Medium,65,"IPL Match at Chinnaswamy Stadium (RCB vs LSG, 34,849 spectators). Heavy crowd movement on Kasturba Road during peak match hours (20:00). Road DNA: 65. Reroute via Richmond Road flyover."
2025-03-12,22,3,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs SRH,33147,115350,11.7,3.51,104.35,2,139.8,88.48,83.32,97.5,977,Heavy Rain,Yes,Severe,93,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 33,147 spectators). Heavy crowd movement on Richmond Road during peak match hours (22:00). Road DNA: 93. Reroute via Richmond Road flyover."
2025-03-15,21,3,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs CSK,32524,104689,8.98,4.17,95.72,2,172.39,86.69,80.05,87.88,1330,Light Rain,No,Severe,78,"IPL Match at Chinnaswamy Stadium (RCB vs CSK, 32,524 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (21:00). Road DNA: 78. Reroute via Richmond Road flyover."
2025-04-26,16,4,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs GT,34979,98748,13.56,2.78,103.46,1,171.2,87.15,84.0,86.43,2824,Heavy Rain,No,Severe,82,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 34,979 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (16:00). Road DNA: 82. Reroute via Richmond Road flyover."
2025-03-10,20,3,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs MI,34489,88815,8.14,4.16,98.23,3,139.57,81.98,76.02,90.62,2949,Heavy Rain,Yes,Severe,94,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 34,489 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (20:00). Road DNA: 94. Reroute via Richmond Road flyover."
2025-05-11,20,5,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs DC,34608,122416,13.08,3.23,110.06,1,188.07,79.07,85.11,86.95,1084,Heavy Rain,Yes,Severe,80,"IPL Match at Chinnaswamy Stadium (RCB vs DC, 34,608 spectators). Heavy crowd movement on Kasturba Road during peak match hours (20:00). Road DNA: 80. Reroute via Richmond Road flyover."
2025-05-11,23,5,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs LSG,30391,115645,9.72,3.3,97.49,3,172.25,78.26,86.5,85.4,2256,Heavy Rain,No,Severe,89,"IPL Match at Chinnaswamy Stadium (RCB vs LSG, 30,391 spectators). Heavy crowd movement on Richmond Road during peak match hours (23:00). Road DNA: 89. Reroute via Richmond Road flyover."
2025-03-09,20,3,Chinnaswamy Stadium Zone,MG Road,IPL Match: RCB vs SRH,31932,80673,16.36,2.05,71.93,2,135.17,60.36,75.01,93.38,988,Thunderstorm,Yes,Medium,57,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 31,932 spectators). Heavy crowd movement on MG Road during peak match hours (20:00). Road DNA: 57. Reroute via Richmond Road flyover."
2025-05-09,20,5,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs CSK,28127,86835,12.64,2.79,94.08,2,140.28,86.36,80.26,93.47,3291,Light Rain,No,Severe,86,"IPL Match at Chinnaswamy Stadium (RCB vs CSK, 28,127 spectators). Heavy crowd movement on Residency Road during peak match hours (20:00). Road DNA: 86. Reroute via Richmond Road flyover."
2025-03-21,23,3,Chinnaswamy Stadium Zone,Residency Road,IPL Match: RCB vs KKR,32427,114561,13.38,3.82,92.94,1,183.56,72.62,86.56,94.54,848,Clear,No,High,87,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 32,427 spectators). Heavy crowd movement on Residency Road during peak match hours (23:00). Road DNA: 87. Reroute via Richmond Road flyover."
2025-05-18,22,5,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs SRH,30183,123652,10.14,3.81,95.32,3,120.76,66.61,70.05,86.32,1900,Thunderstorm,Yes,High,94,"IPL Match at Chinnaswamy Stadium (RCB vs SRH, 30,183 spectators). Heavy crowd movement on Richmond Road during peak match hours (22:00). Road DNA: 94. Reroute via Richmond Road flyover."
2025-05-21,19,5,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs KKR,29249,104023,13.28,4.26,93.69,4,143.98,75.18,83.65,93.97,2469,Thunderstorm,Yes,High,83,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 29,249 spectators). Heavy crowd movement on Richmond Road during peak match hours (19:00). Road DNA: 83. Reroute via Richmond Road flyover."
2025-04-20,21,4,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs RR,30679,124876,7.84,2.68,108.93,1,161.68,83.86,80.77,94.99,2507,Heavy Rain,No,Severe,86,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 30,679 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (21:00). Road DNA: 86. Reroute via Richmond Road flyover."
2025-05-26,18,5,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs MI,30903,106036,7.64,3.88,101.21,1,146.61,89.65,83.42,92.06,3049,Thunderstorm,No,High,89,"IPL Match at Chinnaswamy Stadium (RCB vs MI, 30,903 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (18:00). Road DNA: 89. Reroute via Richmond Road flyover."
2025-05-27,22,5,Chinnaswamy Stadium Zone,Richmond Road,IPL Match: RCB vs GT,28761,105323,9.68,2.97,97.76,4,142.42,63.71,71.37,87.43,866,Clear,Yes,High,91,"IPL Match at Chinnaswamy Stadium (RCB vs GT, 28,761 spectators). Heavy crowd movement on Richmond Road during peak match hours (22:00). Road DNA: 91. Reroute via Richmond Road flyover."
2025-03-17,18,3,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs KKR,29169,117960,10.09,2.89,97.29,2,126.97,62.94,76.03,86.79,3393,Heavy Rain,No,Severe,78,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 29,169 spectators). Heavy crowd movement on Kasturba Road during peak match hours (18:00). Road DNA: 78. Reroute via Richmond Road flyover."
2025-03-15,16,3,Chinnaswamy Stadium Zone,Kasturba Road,IPL Match: RCB vs KKR,30933,80349,23.29,2.01,83.37,1,187.02,82.13,86.6,87.6,1967,Thunderstorm,No,Medium,69,"IPL Match at Chinnaswamy Stadium (RCB vs KKR, 30,933 spectators). Heavy crowd movement on Kasturba Road during peak match hours (16:00). Road DNA: 69. Reroute via Richmond Road flyover."
2025-04-05,20,4,Chinnaswamy Stadium Zone,Cubbon Road,IPL Match: RCB vs RR,32920,129462,7.0,4.2,114.64,0,155.05,63.21,83.59,89.04,2271,Light Rain,Yes,Severe,84,"IPL Match at Chinnaswamy Stadium (RCB vs RR, 32,920 spectators). Heavy crowd movement on Cubbon Road during peak match hours (20:00). Road DNA: 84. Reroute via Richmond Road flyover."
2025-04-27,18,4,Chinnaswamy Stadium Zone,Infant Jesus Church Junction,IPL Match: RCB vs LSG,29455,120337,7.98,3.18,100.3,2,169.17,71.26,74.63,97.64,3382,Light Rain,Yes,Severe,90,"IPL Match at Chinnaswamy Stadium (RCB vs LSG, 29,455 spectators). Heavy crowd movement on Infant Jesus Church Junction during peak match hours (18:00). Road DNA: 90. Reroute via Richmond Road flyover."
